,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
0,1,59:50.4,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1,46:41.4,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,14:50.5,APPROVED,DIGITAL,40,1300,49,NULL,NULL,NULL
3,1,08:23.4,NULL,NULL,NULL,NULL,NULL,434.1120658,NULL,NULL
4,2,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,3,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,4,01:07.0,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,4,27:50.6,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,4,49:54.2,APPROVED,PLASTIC,32,10000,39,NULL,NULL,NULL
9,4,00:52.7,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,3
10,4,25:47.0,NULL,NULL,NULL,NULL,NULL,360.5041733,NULL,NULL
11,4,22:22.1,NULL,NULL,NULL,NULL,NULL,175.0617647,NULL,NULL
12,4,44:53.3,NULL,NULL,NULL,NULL,NULL,3719.618354,NULL,NULL
13,4,53:04.3,NULL,NULL,NULL,NULL,NULL,1171.027491,NULL,NULL
14,5,59:27.9,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,5,53:05.1,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,5,27:30.7,APPROVED,PLASTIC,46,15900,48,NULL,NULL,NULL
17,5,08:11.0,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,0
18,7,37:24.7,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,7,46:35.8,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,7,21:41.5,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
21,8,09:03.5,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,8,51:49.9,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,8,44:07.4,APPROVED,PLASTIC,40,3300,42,NULL,NULL,NULL
24,8,04:53.4,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,2
25,10,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,11,20:14.9,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,11,26:19.8,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,11,00:23.9,APPROVED,PLASTIC,32,49800,32,NULL,NULL,NULL
29,11,55:00.5,DELIVERED,NULL,NULL,NULL,NULL,NULL,64000,0
30,11,42:49.0,NULL,NULL,NULL,NULL,NULL,2201.975645,NULL,NULL
31,11,11:22.1,NULL,NULL,NULL,NULL,NULL,401.9173359,NULL,NULL
32,11,36:26.3,NULL,NULL,NULL,NULL,NULL,45.01147306,NULL,NULL
33,11,53:34.7,NULL,NULL,NULL,NULL,NULL,2691.108286,NULL,NULL
34,11,41:00.7,NULL,NULL,NULL,NULL,NULL,911.9787299,NULL,NULL
35,12,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,14,03:52.8,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,14,05:06.8,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,14,32:10.7,APPROVED,PLASTIC,31,2700,46,NULL,NULL,NULL
39,14,17:29.5,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,4
40,15,18:53.9,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,15,29:50.0,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,15,49:11.7,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
43,16,36:40.6,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,16,36:23.3,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,16,09:25.6,APPROVED,PLASTIC,38,10700,44,NULL,NULL,NULL
46,16,37:41.8,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,2
47,17,52:10.0,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,17,48:24.1,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,17,33:53.6,APPROVED,PLASTIC,48,6600,48,NULL,NULL,NULL
50,17,23:58.8,DELIVERED,NULL,NULL,NULL,NULL,NULL,44620,3
51,17,16:44.9,NULL,NULL,NULL,NULL,NULL,28.17714529,NULL,NULL
52,17,51:42.0,NULL,NULL,NULL,NULL,NULL,123.8627528,NULL,NULL
53,18,04:06.4,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,18,23:47.9,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,18,58:54.4,APPROVED,PLASTIC,36,16300,48,NULL,NULL,NULL
56,18,01:41.0,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,2
57,18,35:35.1,NULL,NULL,NULL,NULL,NULL,1131.122678,NULL,NULL
58,19,10:58.6,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,19,08:59.4,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,19,22:12.2,APPROVED,PLASTIC,38,21200,35,NULL,NULL,NULL
61,19,03:32.4,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,0
62,20,20:08.4,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,20,12:18.9,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,20,45:56.9,APPROVED,PLASTIC,32,56200,48,NULL,NULL,NULL
65,20,13:47.3,DELIVERED,NULL,NULL,NULL,NULL,NULL,44100,2
66,20,40:00.8,NULL,NULL,NULL,NULL,NULL,18.24583376,NULL,NULL
67,20,25:19.5,NULL,NULL,NULL,NULL,NULL,261.9489261,NULL,NULL
68,22,44:03.7,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,22,27:23.2,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,22,08:16.6,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
71,23,07:11.9,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,23,42:38.4,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,23,43:55.4,REJECTED,MOP,NULL,NULL,NULL,NULL,NULL,NULL
74,24,20:52.8,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,24,47:07.4,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,24,09:12.6,REJECTED,INCOME,NULL,NULL,NULL,NULL,NULL,NULL
77,26,48:12.1,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,26,58:57.8,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,26,02:55.8,APPROVED,PLASTIC,36,14900,47,NULL,NULL,NULL
80,26,13:56.8,DELIVERED,NULL,NULL,NULL,NULL,NULL,44100,3
81,27,24:42.0,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,27,13:53.5,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,27,49:44.9,REJECTED,INCOME,NULL,NULL,NULL,NULL,NULL,NULL
84,28,11:37.9,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,28,02:30.0,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,28,46:16.1,APPROVED,PLASTIC,46,14900,37,NULL,NULL,NULL
87,28,55:24.8,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,4
88,28,12:44.1,NULL,NULL,NULL,NULL,NULL,107.4273583,NULL,NULL
89,28,01:36.8,NULL,NULL,NULL,NULL,NULL,288.9045753,NULL,NULL
90,29,28:47.9,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,29,01:31.7,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,29,51:44.0,APPROVED,PLASTIC,42,51600,42,NULL,NULL,NULL
93,29,33:34.6,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,2
94,30,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,31,22:54.6,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,31,21:00.5,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,31,27:18.8,APPROVED,PLASTIC,35,39700,37,NULL,NULL,NULL
98,31,22:32.7,DELIVERED,NULL,NULL,NULL,NULL,NULL,64000,1
99,31,00:21.0,NULL,NULL,NULL,NULL,NULL,239.9107554,NULL,NULL
100,31,23:37.6,NULL,NULL,NULL,NULL,NULL,30.66072102,NULL,NULL
