,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
0,1,13/05/2021 11:03,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1,20/05/2021 00:03,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,23/05/2021 18:30,APPROVED,DIGITAL,40,1300,49,NULL,NULL,NULL
3,1,20/08/2021 20:58,NULL,NULL,NULL,NULL,NULL,434.1120658,NULL,NULL
4,2,31/07/2021 13:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,3,09/06/2021 11:36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,4,25/08/2021 10:24,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,4,28/08/2021 12:47,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,4,02/09/2021 17:12,APPROVED,PLASTIC,32,10000,39,NULL,NULL,NULL
9,4,12/09/2021 01:26,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,3
10,4,04/10/2021 17:18,NULL,NULL,NULL,NULL,NULL,360.5041733,NULL,NULL
11,4,18/10/2021 14:18,NULL,NULL,NULL,NULL,NULL,175.0617647,NULL,NULL
12,4,20/10/2021 19:21,NULL,NULL,NULL,NULL,NULL,3719.618354,NULL,NULL
13,4,21/10/2021 08:59,NULL,NULL,NULL,NULL,NULL,1171.027491,NULL,NULL
14,5,03/09/2021 04:32,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,5,09/09/2021 14:15,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,5,10/09/2021 17:41,APPROVED,PLASTIC,46,15900,48,NULL,NULL,NULL
17,5,14/09/2021 17:34,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,0
18,7,14/06/2021 23:47,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,7,21/06/2021 10:52,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,7,23/06/2021 23:32,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
21,8,23/01/2021 17:10,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,8,24/01/2021 08:29,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,8,26/01/2021 04:22,APPROVED,PLASTIC,40,3300,42,NULL,NULL,NULL
24,8,06/02/2021 08:26,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,2
25,10,22/06/2021 04:42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,11,18/06/2021 06:18,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,11,23/06/2021 20:54,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,11,29/06/2021 23:41,APPROVED,PLASTIC,32,49800,32,NULL,NULL,NULL
29,11,05/07/2021 07:53,DELIVERED,NULL,NULL,NULL,NULL,NULL,64000,0
30,11,10/08/2021 20:51,NULL,NULL,NULL,NULL,NULL,2201.975645,NULL,NULL
31,11,17/09/2021 03:36,NULL,NULL,NULL,NULL,NULL,401.9173359,NULL,NULL
32,11,12/10/2021 20:21,NULL,NULL,NULL,NULL,NULL,45.01147306,NULL,NULL
33,11,17/10/2021 08:19,NULL,NULL,NULL,NULL,NULL,2691.108286,NULL,NULL
34,11,17/10/2021 11:29,NULL,NULL,NULL,NULL,NULL,911.9787299,NULL,NULL
35,12,12/03/2021 15:09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,14,08/01/2021 22:22,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,14,15/01/2021 00:03,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,14,15/01/2021 16:55,APPROVED,PLASTIC,31,2700,46,NULL,NULL,NULL
39,14,20/01/2021 12:57,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,4
